Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,3,,,,8.6,0:26,1.6,7:44,8.6,12:54,1.6,20:11,,
2018,3,,,7:43,,,,,,,,,,82
2018,3,21,7:43,19:48,0:26,8.2,7:44,1.2,12:54,9,20:11,2,82,high
2018,3,X,19:48,,,,,,,,,,high,
2018,3,,,,8.2,0:54,1.2,8:13,9,13:34,2,20:50,,
2018,3,,,7:45,,,,,,,,,,70
2018,3,22,7:45,19:45,0:54,8.2,8:13,1.2,13:34,9,20:50,2.4,70,high
2018,3,J,19:45,,,,,,,,,,high,
2018,3,,,,8.2,1:21,1.2,8:45,9,14:17,2.4,21:33,,
2018,3,,,7:46,,,,,,,,,,58
2018,3,23,7:46,19:43,1:21,7.7,8:45,0.8,14:17,9,21:33,3.2,58,medium
2018,3,V,19:43,,,,,,,,,,medium,
2018,3,,,,7.7,1:49,0.8,9:20,9,15:06,3.2,22:21,,
2018,3,,,7:48,,,,,,,,,,50
2018,3,24,7:48,19:41,1:49,7.3,9:20,0.8,15:06,9,22:21,3.6,50,medium
2018,3,S,19:41,,,,,,,,,,medium,
2018,3,,,,7.3,2:19,0.8,10:01,9,16:04,3.6,23:21,,
2018,3,,,7:50,,,,,,,,,,49
2018,3,25,7:50,19:38,2:19,6.9,10:01,1.2,16:04,8.6,23:21,4.4,49,low
2018,3,D,19:38,,,,,,,,,,low,
2018,3,,,,6.9,2:54,1.2,10:52,8.6,17:18,4.4,,,
2018,3,,,7:52,,,,,,,,,,57
2018,3,26,7:52,19:36,2:54,6.5,10:52,1.6,17:18,8.2,,,57,medium
2018,3,L,19:36,,,,,,,,,,medium,
2018,3,,,,6.5,0:50,1.6,3:45,8.2,12:01,,18:50,,
2018,3,,,7:53,,,,,,,,,,70
2018,3,27,7:53,19:34,0:50,4.8,3:45,6,12:01,2,18:50,7.7,70,high
2018,3,M,19:34,,,,,,,,,,high,
2018,3,,,,4.8,2:51,6,5:29,2,13:37,7.7,20:15,,
2018,3,,,7:55,,,,,,,,,,83
2018,3,28,7:55,19:31,2:51,4.8,5:29,5.6,13:37,2.4,20:15,7.7,83,high
